iter	Logloss
0	0.6860780527
1	0.6781779228
2	0.67110059
3	0.6630499629
4	0.6548454554
5	0.6479686068
6	0.6405640664
7	0.632739195
8	0.625417696
9	0.6191132966
10	0.6118108336
11	0.6062309542
12	0.5997430321
13	0.594139284
14	0.5876182657
15	0.581913692
16	0.57667728
17	0.5711698234
18	0.5658269004
19	0.5611384825
20	0.5554158205
21	0.5496689865
22	0.5447256769
23	0.5401274531
24	0.5355966624
25	0.5312033506
26	0.5268249796
27	0.5222222509
28	0.5181555949
29	0.5134419523
30	0.50936437
31	0.5057715789
32	0.501151911
33	0.4976992072
34	0.493561524
35	0.4905651421
36	0.4872991193
37	0.484025385
38	0.4810196823
39	0.478290064
40	0.475287358
41	0.4725523298
42	0.4696856504
43	0.4670768627
44	0.4644122764
45	0.4616008862
46	0.4603263704
47	0.4577191562
48	0.4552856827
49	0.4527965207
50	0.4516476992
51	0.4488822532
52	0.4469420398
53	0.4441418545
54	0.441468969
55	0.439698753
56	0.4375739616
57	0.4355929288
58	0.4333972127
59	0.4315584003
60	0.4292349848
61	0.4271653478
62	0.4249509577
63	0.4229103221
64	0.4201541038
65	0.4186003278
66	0.4168665547
67	0.4150154838
68	0.4126624656
69	0.4104635087
70	0.4089859626
71	0.4082260188
72	0.4064049593
73	0.4048940527
74	0.4032572811
75	0.4014306127
76	0.3996515223
77	0.3984761513
78	0.3968482034
79	0.3954592728
80	0.3941623034
81	0.3930978109
82	0.3926314827
83	0.3911600307
84	0.3900319736
85	0.3886787934
86	0.3873519028
87	0.3865064161
88	0.3852116017
89	0.3840059356
90	0.3826850279
91	0.3815860445
92	0.3802836192
93	0.3790739821
94	0.3777612654
95	0.3765342449
96	0.3752088673
97	0.3741055259
98	0.3732524105
99	0.3721710597
100	0.3712151488
101	0.3705478859
102	0.3697894802
103	0.3686835712
104	0.3677136781
105	0.3668336157
106	0.3656077671
107	0.3647049028
108	0.3637450099
109	0.3629030633
110	0.3621630303
111	0.3613157798
112	0.3606678516
113	0.3600562908
114	0.3590771173
115	0.3581853486
116	0.3574868662
117	0.3568754398
118	0.356249561
119	0.3556893848
120	0.3551487607
121	0.3544168837
122	0.3537323624
123	0.3531414454
124	0.3523045159
125	0.3517560955
126	0.3510118776
127	0.3502195217
128	0.3497031189
129	0.3491371677
130	0.3482898474
131	0.3474643994
132	0.3469880418
133	0.3462676347
134	0.3457113669
135	0.3453051859
136	0.3447245596
137	0.3443045262
138	0.3436991696
139	0.3426498433
140	0.3421964685
141	0.3415244427
142	0.3410181369
143	0.3403397689
144	0.339746522
145	0.339271467
146	0.3383864739
147	0.3376269692
148	0.337045024
149	0.336592175
150	0.3362841871
151	0.3357778359
152	0.3352227753
153	0.3348629687
154	0.3342208621
155	0.3339138287
156	0.3337742467
157	0.3333734981
158	0.3329493568
159	0.3324004787
160	0.3320339461
161	0.3313570341
162	0.3311087486
163	0.3306266133
164	0.3303546926
165	0.3299454622
166	0.3296093319
167	0.3291479677
168	0.3287537434
169	0.3284968399
170	0.3281617785
171	0.3277495032
172	0.3273237516
173	0.3269855568
174	0.3266298794
175	0.3263265149
176	0.3259086253
177	0.3254301771
178	0.3250450054
179	0.3246374029
180	0.3242971076
181	0.3238934056
182	0.3234575495
183	0.3230824228
184	0.3227163998
185	0.3224413951
186	0.3220994189
187	0.3216932806
188	0.32123396
189	0.3209966638
190	0.32088507
191	0.3206266939
192	0.3202973396
193	0.319974107
194	0.3196634776
195	0.3193910075
196	0.3191464625
197	0.3189568072
198	0.318436138
199	0.31807526
200	0.3179497851
201	0.3177470465
202	0.3174062949
203	0.3169129695
204	0.3165819634
205	0.3161509834
206	0.3158561031
207	0.315545141
208	0.3152609896
209	0.3149402911
210	0.3145233365
211	0.3141300538
212	0.3136889697
213	0.3131927861
214	0.3129575145
215	0.3126594185
216	0.3122590648
217	0.3120148436
218	0.3116666568
219	0.3113178494
220	0.3110647501
221	0.3108681746
