iter	Passed	Remaining
0	71	71049
1	75	37446
2	78	26203
3	83	20736
4	87	17394
5	92	15244
6	96	13741
7	101	12641
8	105	11658
9	109	10811
10	113	10242
11	119	9804
12	122	9323
13	126	8927
14	131	8646
15	135	8344
16	139	8092
17	144	7893
18	149	7736
19	154	7547
20	158	7368
21	162	7222
22	168	7138
23	172	7021
24	178	6952
25	182	6846
26	186	6718
27	190	6599
28	194	6514
29	199	6450
30	203	6372
31	207	6291
32	213	6244
33	218	6213
34	223	6171
35	229	6143
36	234	6091
37	237	6014
38	241	5960
39	247	5935
40	251	5884
41	256	5849
42	261	5814
43	266	5786
44	270	5739
45	275	5706
46	280	5689
47	285	5654
48	288	5606
49	294	5600
50	299	5565
51	303	5526
52	308	5507
53	314	5503
54	318	5468
55	322	5433
56	328	5429
57	333	5408
58	337	5376
59	341	5355
60	347	5354
61	351	5323
62	356	5301
63	362	5300
64	367	5282
65	371	5260
66	377	5253
67	382	5236
68	386	5213
69	391	5198
70	397	5195
71	400	5167
72	405	5144
73	410	5135
74	414	5111
75	418	5082
76	422	5064
77	428	5062
78	432	5038
79	436	5015
80	440	4995
81	443	4970
82	447	4945
83	451	4924
84	455	4907
85	459	4886
86	463	4862
87	467	4841
88	471	4827
89	476	4814
90	480	4796
91	484	4781
92	488	4766
93	492	4748
94	496	4729
95	500	4708
96	504	4697
97	508	4683
98	512	4666
99	516	4651
100	521	4642
101	525	4626
102	529	4607
103	532	4591
104	537	4583
105	541	4565
106	544	4546
107	548	4528
108	552	4515
109	556	4504
110	560	4490
111	564	4473
112	568	4460
113	572	4446
114	576	4438
115	581	4429
116	585	4416
117	588	4401
118	591	4382
119	594	4362
120	598	4348
121	602	4333
122	605	4318
123	609	4303
124	612	4288
125	615	4271
126	619	4258
127	622	4242
128	625	4226
129	629	4212
130	633	4199
131	637	4192
132	641	4178
133	644	4164
134	647	4150
135	651	4136
136	654	4123
137	658	4115
138	663	4108
139	666	4096
140	671	4088
141	674	4075
142	677	4061
143	680	4047
144	685	4039
145	689	4030
146	692	4017
147	696	4008
148	701	4005
149	704	3993
150	708	3981
151	711	3968
152	715	3958
153	719	3952
154	722	3940
155	726	3928
156	729	3919
157	734	3913
158	738	3907
159	741	3893
160	745	3882
161	749	3875
162	753	3868
163	757	3860
164	760	3850
165	764	3841
166	768	3835
167	770	3816
168	774	3806
169	777	3797
170	782	3794
171	786	3787
172	790	3780
173	794	3771
174	798	3766
175	803	3759
176	825	3838
177	831	3841
178	838	3844
179	841	3835
180	845	3827
181	850	3822
182	853	3811
183	857	3801
184	861	3794
185	864	3785
186	868	3776
187	873	3774
188	877	3766
189	881	3756
190	886	3752
191	890	3746
192	894	3741
193	899	3737
194	903	3729
195	907	3722
196	911	3716
197	916	3713
198	920	3705
199	924	3697
200	929	3693
201	932	3684
202	935	3674
203	938	3663
204	942	3654
205	946	3646
206	949	3639
207	953	3631
208	958	3627
209	962	3620
210	966	3613
211	968	3600
212	972	3592
213	976	3588
214	981	3583
215	984	3574
216	986	3558
217	989	3549
218	993	3544
219	997	3537
220	1000	3527
221	1004	3520
222	1008	3515
223	1013	3509
224	1016	3501
225	1020	3494
226	1024	3489
227	1029	3485
228	1032	3476
229	1035	3468
230	1039	3460
231	1044	3456
232	1047	3449
233	1051	3440
234	1054	3433
235	1059	3429
236	1061	3418
237	1065	3411
238	1069	3404
239	1072	3397
240	1077	3392
241	1080	3384
242	1082	3372
243	1085	3364
244	1090	3359
245	1094	3354
246	1099	3350
247	1102	3342
248	1106	3336
249	1110	3331
250	1114	3324
251	1117	3318
252	1122	3313
253	1126	3309
254	1130	3303
255	1134	3297
256	1138	3291
257	1144	3292
258	1147	3284
259	1150	3275
260	1154	3269
261	1159	3264
262	1162	3256
263	1165	3248
264	1169	3242
265	1173	3238
266	1177	3232
267	1180	3224
268	1183	3215
269	1187	3211
270	1192	3209
271	1196	3202
272	1200	3196
273	1205	3193
274	1208	3186
275	1211	3178
276	1215	3171
277	1220	3169
278	1223	3162
279	1227	3156
280	1230	3149
281	1234	3144
282	1239	3140
283	1242	3133
284	1245	3123
285	1249	3118
286	1253	3114
287	1257	3107
288	1261	3102
289	1264	3096
290	1268	3091
291	1272	3084
292	1276	3079
293	1278	3070
294	1283	3066
295	1295	3080
296	1299	3076
297	1342	3162
298	1347	3158
299	1352	3154
300	1365	3171
301	1368	3162
302	1372	3157
303	1376	3151
304	1380	3145
305	1384	3140
306	1388	3133
307	1391	3126
308	1395	3120
309	1400	3117
310	1405	3113
311	1409	3107
312	1412	3100
313	1417	3095
314	1421	3091
315	1424	3083
316	1427	3076
317	1431	3069
318	1435	3065
319	1439	3058
320	1443	3052
321	1446	3045
322	1450	3039
323	1454	3033
324	1457	3027
325	1462	3022
326	1466	3017
327	1469	3011
328	1473	3005
329	1476	2997
330	1479	2990
331	1483	2985
332	1486	2976
333	1489	2969
334	1492	2963
335	1496	2956
336	1500	2951
337	1503	2944
338	1509	2942
339	1514	2939
340	1521	2940
341	1524	2933
342	1528	2927
343	1534	2925
344	1537	2919
345	1541	2913
346	1545	2908
347	1549	2902
348	1552	2895
349	1556	2889
350	1560	2885
351	1563	2877
352	1566	2871
353	1570	2865
354	1573	2859
355	1577	2854
356	1582	2850
357	1586	2844
358	1589	2838
359	1593	2833
360	1597	2828
361	1600	2821
362	1605	2816
363	1608	2810
364	1612	2806
365	1617	2801
366	1619	2792
367	1622	2786
368	1626	2782
369	1631	2777
370	1634	2771
371	1638	2766
372	1642	2760
373	1646	2755
374	1649	2749
375	1652	2743
376	1657	2738
377	1661	2734
378	1664	2726
379	1667	2720
380	1670	2713
381	1675	2710
382	1679	2705
383	1682	2699
384	1686	2693
385	1690	2688
386	1694	2684
387	1698	2679
388	1702	2673
389	1706	2668
390	1710	2664
391	1714	2658
392	1716	2651
393	1719	2644
394	1722	2637
395	1727	2635
396	1731	2629
397	1734	2623
398	1736	2615
399	1739	2609
400	1744	2605
401	1748	2600
402	1752	2595
403	1756	2590
404	1760	2585
405	1763	2580
406	1767	2574
407	1771	2570
408	1776	2566
409	1779	2560
410	1782	2554
411	1787	2550
412	1788	2542
413	1793	2538
414	1796	2533
415	1799	2526
416	1803	2522
417	1808	2517
418	1811	2512
419	1815	2506
420	1819	2501
421	1823	2497
422	1827	2493
423	1831	2487
424	1835	2482
425	1839	2478
426	1843	2473
427	1846	2468
428	1850	2463
429	1854	2458
430	1859	2454
431	1862	2449
432	1866	2444
433	1871	2440
434	1873	2433
435	1877	2428
436	1880	2422
437	1884	2417
438	1889	2414
439	1892	2408
440	1895	2403
441	1900	2398
442	1905	2395
443	1908	2389
444	1911	2384
445	1914	2377
446	1917	2372
447	1923	2369
448	1927	2365
449	1930	2359
450	1934	2354
451	1938	2350
452	1942	2345
453	1946	2340
454	1950	2335
455	1953	2330
456	1957	2326
457	1961	2320
458	1964	2316
459	1969	2311
460	1973	2307
461	1978	2303
462	1982	2299
463	1986	2294
464	1989	2289
465	1992	2283
466	1995	2277
467	1997	2270
468	2001	2265
469	2004	2260
470	2008	2255
471	2012	2250
472	2016	2246
473	2020	2242
474	2024	2237
475	2028	2232
476	2032	2227
477	2036	2223
478	2040	2218
479	2043	2214
480	2047	2209
481	2051	2204
482	2054	2199
483	2057	2193
484	2060	2187
485	2063	2182
486	2067	2177
487	2070	2172
488	2074	2167
489	2078	2163
490	2082	2158
491	2085	2153
492	2088	2148
493	2091	2142
494	2096	2138
495	2100	2134
496	2103	2129
497	2106	2123
498	2109	2118
499	2115	2115
500	2119	2110
501	2122	2106
502	2126	2101
503	2130	2097
504	2133	2091
505	2135	2084
506	2139	2080
507	2142	2074
508	2145	2069
509	2149	2065
510	2153	2060
511	2157	2055
512	2161	2052
513	2166	2048
514	2170	2044
515	2171	2037
516	2175	2032
517	2179	2028
518	2183	2024
519	2186	2018
520	2189	2013
521	2193	2008
522	2196	2003
523	2202	2000
524	2205	1995
525	2209	1991
526	2213	1986
527	2217	1981
528	2219	1975
529	2222	1970
530	2225	1965
531	2229	1961
532	2234	1957
533	2237	1952
534	2240	1947
535	2252	1949
536	2255	1944
537	2259	1940
538	2262	1935
539	2266	1930
540	2271	1927
541	2275	1923
542	2279	1918
543	2282	1913
544	2286	1908
545	2289	1903
546	2295	1900
547	2299	1896
548	2302	1891
549	2306	1887
550	2311	1883
551	2314	1878
552	2318	1874
553	2322	1869
554	2325	1864
555	2329	1860
556	2332	1855
557	2335	1849
558	2337	1844
559	2341	1839
560	2346	1836
561	2349	1831
562	2353	1826
563	2357	1822
564	2361	1818
565	2365	1813
566	2368	1808
567	2373	1804
568	2377	1801
569	2381	1796
570	2384	1791
571	2387	1786
572	2392	1782
573	2396	1778
574	2400	1774
575	2404	1769
576	2409	1766
577	2412	1761
578	2416	1756
579	2420	1752
580	2426	1750
581	2430	1745
582	2434	1741
583	2438	1737
584	2442	1732
585	2446	1728
586	2449	1723
587	2453	1719
588	2458	1715
589	2461	1710
590	2465	1706
591	2469	1701
592	2474	1698
593	2476	1692
594	2479	1687
595	2483	1683
596	2488	1679
597	2492	1675
598	2495	1670
599	2497	1664
600	2501	1660
601	2506	1657
602	2510	1652
603	2513	1647
604	2517	1643
605	2521	1639
606	2524	1634
607	2528	1630
608	2532	1625
609	2534	1620
610	2538	1616
611	2542	1612
612	2546	1607
613	2550	1603
614	2555	1599
615	2559	1595
616	2562	1590
617	2566	1586
618	2570	1582
619	2574	1577
620	2578	1573
621	2581	1568
622	2585	1564
623	2588	1559
624	2592	1555
625	2596	1551
626	2600	1546
627	2604	1542
628	2607	1538
629	2610	1533
630	2614	1528
631	2618	1524
632	2620	1519
633	2624	1514
634	2630	1512
635	2635	1508
636	2638	1503
637	2642	1499
638	2645	1494
639	2650	1490
640	2654	1486
641	2657	1482
642	2661	1477
643	2665	1473
644	2669	1469
645	2673	1465
646	2676	1460
647	2680	1455
648	2684	1451
649	2688	1447
650	2691	1443
651	2695	1438
652	2699	1434
653	2704	1430
654	2707	1426
655	2710	1421
656	2715	1417
657	2719	1413
658	2721	1408
659	2724	1403
660	2728	1399
661	2729	1393
662	2734	1389
663	2736	1384
664	2740	1380
665	2743	1375
666	2747	1371
667	2749	1366
668	2753	1362
669	2756	1357
670	2759	1352
671	2762	1348
672	2765	1343
673	2769	1339
674	2772	1334
675	2775	1330
676	2778	1325
677	2781	1321
678	2784	1316
679	2787	1311
680	2790	1307
681	2793	1302
682	2797	1298
683	2800	1293
684	2803	1289
685	2807	1285
686	2812	1281
687	2816	1277
688	2819	1272
689	2823	1268
690	2826	1263
691	2830	1259
692	2834	1255
693	2837	1251
694	2841	1247
695	2845	1242
696	2849	1238
697	2852	1234
698	2856	1229
699	2860	1226
700	2865	1222
701	2868	1217
702	2872	1213
703	2875	1209
704	2880	1205
705	2883	1200
706	2887	1196
707	2890	1191
708	2893	1187
709	2898	1183
710	2901	1179
711	2904	1174
712	2909	1171
713	2915	1167
714	2919	1163
715	2922	1159
716	2927	1155
717	2931	1151
718	2936	1147
719	2944	1145
720	2950	1141
721	2953	1137
722	2957	1133
723	2962	1129
724	2966	1125
725	2970	1120
726	2974	1116
727	2978	1112
728	2982	1108
729	2985	1104
730	2989	1100
731	2994	1096
732	2998	1092
733	3001	1087
734	3006	1083
735	3011	1080
736	3014	1075
737	3018	1071
738	3021	1067
739	3026	1063
740	3030	1059
741	3034	1055
742	3037	1050
743	3042	1046
744	3046	1042
745	3048	1038
746	3053	1034
747	3058	1030
748	3061	1025
749	3065	1021
750	3068	1017
751	3072	1013
752	3077	1009
753	3080	1005
754	3084	1000
755	3087	996
756	3091	992
757	3096	988
758	3100	984
759	3101	979
760	3107	975
761	3111	971
762	3115	967
763	3118	963
764	3123	959
765	3129	956
766	3139	953
767	3143	949
768	3146	945
769	3151	941
770	3154	936
771	3158	932
772	3160	928
773	3164	923
774	3167	919
775	3171	915
776	3175	911
777	3178	907
778	3183	903
779	3187	899
780	3191	894
781	3195	890
782	3198	886
783	3202	882
784	3207	878
785	3211	874
786	3215	870
787	3219	866
788	3223	861
789	3227	857
790	3230	853
791	3234	849
792	3240	845
793	3244	841
794	3248	837
795	3251	833
796	3256	829
797	3259	825
798	3263	821
799	3267	816
800	3272	813
801	3276	808
802	3280	804
803	3284	800
804	3287	796
805	3291	792
806	3294	787
807	3298	783
808	3302	779
809	3306	775
810	3309	771
811	3313	767
812	3317	762
813	3321	759
814	3323	754
815	3327	750
816	3330	746
817	3335	742
818	3337	737
819	3341	733
820	3344	729
821	3346	724
822	3350	720
823	3353	716
824	3355	711
825	3358	707
826	3361	703
827	3365	699
828	3368	694
829	3371	690
830	3374	686
831	3378	682
832	3381	677
833	3385	673
834	3388	669
835	3392	665
836	3394	661
837	3399	657
838	3403	653
839	3406	648
840	3410	644
841	3414	640
842	3418	636
843	3422	632
844	3425	628
845	3430	624
846	3435	620
847	3438	616
848	3441	612
849	3445	608
850	3450	604
851	3454	600
852	3458	595
853	3462	591
854	3465	587
855	3471	584
856	3475	579
857	3480	575
858	3485	572
859	3490	568
860	3494	564
861	3499	560
862	3503	556
863	3507	552
864	3512	548
865	3516	544
866	3520	539
867	3523	535
868	3528	531
869	3533	527
870	3538	524
871	3543	520
872	3546	515
873	3551	511
874	3556	508
875	3563	504
876	3567	500
877	3570	496
878	3575	492
879	3580	488
880	3585	484
881	3588	480
882	3593	476
883	3598	472
884	3602	468
885	3606	463
886	3611	460
887	3615	456
888	3619	451
889	3624	447
890	3628	443
891	3632	439
892	3635	435
893	3639	431
894	3643	427
895	3647	423
896	3652	419
897	3658	415
898	3662	411
899	3667	407
900	3670	403
901	3676	399
902	3680	395
903	3684	391
904	3687	387
905	3691	383
906	3695	378
907	3699	374
908	3702	370
909	3707	366
910	3711	362
911	3714	358
912	3718	354
913	3722	350
914	3727	346
915	3731	342
916	3734	338
917	3738	333
918	3742	329
919	3746	325
920	3751	321
921	3755	317
922	3759	313
923	3762	309
924	3766	305
925	3769	301
926	3773	297
927	3778	293
928	3781	289
929	3785	284
930	3789	280
931	3793	276
932	3797	272
933	3801	268
934	3806	264
935	3809	260
936	3813	256
937	3816	252
938	3820	248
939	3824	244
940	3828	240
941	3833	236
942	3836	231
943	3841	227
944	3845	223
945	3848	219
946	3853	215
947	3857	211
948	3861	207
949	3864	203
950	3870	199
951	3874	195
952	3878	191
953	3882	187
954	3886	183
955	3890	179
956	3894	174
957	3897	170
958	3901	166
959	3905	162
960	3909	158
961	3913	154
962	3918	150
963	3923	146
964	3927	142
965	3931	138
966	3936	134
967	3940	130
968	3943	126
969	3947	122
970	3951	118
971	3955	113
972	3959	109
973	3963	105
974	3968	101
975	3971	97
976	3974	93
977	3978	89
978	3982	85
979	3986	81
980	3990	77
981	3994	73
982	3997	69
983	4001	65
984	4005	60
985	4008	56
986	4012	52
987	4017	48
988	4021	44
989	4025	40
990	4029	36
991	4033	32
992	4036	28
993	4040	24
994	4043	20
995	4048	16
996	4052	12
997	4057	8
998	4060	4
999	4065	0
